,Thème,Question,A,B,C,D,Bonne réponse
🏦 Investissement & Bourse,Introduction à la Bourse,Qu'est-ce qu'une correction de marché ?, Une hausse de 10 % ou plus, Une baisse modérée du marché (5–10 %) , Une défaillance technique, Une chute brutale de 30 %,B
🏦 Investissement & Bourse,Introduction à la Bourse,Que représente le volume d’échange d’une action ?, Le nombre de dividendes versés, Le total des actions en circulation, Le nombre d’actions échangées sur une période , Le prix moyen,C
🏦 Investissement & Bourse,Introduction à la Bourse,Un dividende est souvent exprimé :, En % du chiffre d’affaires, Par action , En nombre d’actions, En durée,B
🏦 Investissement & Bourse,Introduction à la Bourse,Qui régule la Bourse en France ?, La Banque de France, Le Ministère des Finances, L'AMF , La BCE,C
🏦 Investissement & Bourse,Introduction à la Bourse,Le CAC 40 regroupe :, Les 40 plus grosses PME, Les 40 premières entreprises cotées en Europe, Les 40 plus grandes capitalisations françaises , 40 fonds d’investissement,C
🏦 Investissement & Bourse,Introduction à la Bourse,Quel terme désigne la différence entre le prix d’achat et de vente ?, Spread , Volatilité, Dividende, Ratio,A
🏦 Investissement & Bourse,Les types d'actifs,Qu'est-ce qu'une obligation ?, Une part de propriété d’une entreprise, Un produit dérivé, Un prêt accordé à un État ou une entreprise , Une action avec dividende garanti,C
🏦 Investissement & Bourse,Les types d'actifs,Que représente un ETF ?, Un fonds spéculatif à haut risque, Une action à dividende variable, Un fonds indiciel coté en Bourse , Une crypto-monnaie,C
🏦 Investissement & Bourse,Les types d'actifs,Quelle est la principale différence entre une action et une obligation ?," L'action est un prêt, l'obligation une part de propriété"," L'obligation est un prêt, l'action une part de propriété "," L'action est garantie, l'obligation non", Aucune différence,B
🏦 Investissement & Bourse,Les types d'actifs,Quel type d'actif donne droit à voter en assemblée générale ?, Obligation, ETF, Action , Livret A,C
🏦 Investissement & Bourse,Les types d'actifs,Quel actif est généralement considéré comme le plus risqué ?, Obligation d'État, Action de startup , Livret A, Obligations AAA,B
🏦 Investissement & Bourse,Les types d'actifs,Un ETF peut contenir :, Une seule action, Des matières premières uniquement, Un panier d’actifs comme des actions ou obligations , Un contrat d’assurance,C
🏦 Investissement & Bourse,Les types d'actifs,Que signifie la diversification d’un ETF ?, Il se spécialise sur une entreprise, Il suit les conseils d’un courtier, Il investit dans plusieurs titres , Il est basé sur le taux de change,C
🏦 Investissement & Bourse,Les types d'actifs,"Un actif dit ""refuge"" est typiquement :", L’action d’une PME, Une cryptomonnaie, L’or , Un ETF technologique,C
🏦 Investissement & Bourse,Les types d'actifs,Quel actif rapporte souvent un revenu fixe annuel ?, Action, Obligation , ETF à capitalisation, Plan d’épargne en actions,B
🏦 Investissement & Bourse,Les types d'actifs,"Une action de type ""croissance"" est :", Une obligation bien notée, Une action d’entreprise en forte expansion , Un ETF sectoriel, Un actif sans risque,B
🏦 Investissement & Bourse,Les types d'actifs,Le Livret A est :, Une action, Une obligation, Un placement réglementé garanti , Un actif coté,C
🏦 Investissement & Bourse,Les types d'actifs,Une obligation émise par l’État français est appelée :, Livret, Titre foncier, OAT , Action publique,C
🏦 Investissement & Bourse,Les types d'actifs,Que contient un ETF CAC 40 ?, Les obligations françaises, Les 40 plus grandes entreprises françaises , Les 40 plus grandes banques, Les 40 fonds immobiliers,B
🏦 Investissement & Bourse,Les types d'actifs,Quel actif est indexé sur l’évolution du prix du pétrole ?, Une action bancaire, Une OAT, Un ETF énergie , Un livret d’épargne,C
🏦 Investissement & Bourse,Les types d'actifs,Une SICAV est :, Une action du CAC 40, Un fonds d’investissement , Une crypto, Une obligation à court terme,B
🏦 Investissement & Bourse,Les types d'actifs,Quels actifs sont les plus sensibles à la hausse des taux d’intérêt ?, Actions technologiques, Obligations , Immobilier, ETF monde,B
🏦 Investissement & Bourse,Les types d'actifs,Les obligations à haut rendement sont aussi appelées :, Junk bonds , ETF de croissance, Actions à dividendes, Livrets à risque,A
🏦 Investissement & Bourse,Les types d'actifs,Un ETF est dit “répliqué physiquement” quand :, Il suit un robot de trading, Il achète réellement les titres de l’indice , Il est garanti par l’État, Il utilise un algorithme spéculatif,B
🏦 Investissement & Bourse,Les types d'actifs,Quel est l'intérêt principal des obligations d'État ?, Elles offrent une forte croissance, Elles garantissent un retour stable avec peu de risque , Elles permettent de voter en AG, Elles dépendent du marché immobilier,B
🏦 Investissement & Bourse,Les types d'actifs,Un ETF à distribution :, Réinvestit les dividendes, Ne distribue aucun revenu, Verse les dividendes aux investisseurs , Ne contient que des obligations,C
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)",Qu’est-ce qu’un PEA ?, Un Plan Épargne Action , Un compte bancaire, Un fonds d’urgence, Un livret réglementé,A
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)",Quel est l’avantage fiscal principal du PEA après 5 ans ?, Aucune fiscalité sur les plus-values , Une réduction immédiate d’impôt, Exonération des charges sociales, Déduction des versements,A
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Un CTO permet d’investir :, Uniquement dans des actions françaises, Dans tous les types d’actifs cotés , Uniquement dans les cryptos, Dans les SCPI uniquement,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)",Le plafond de versement d’un PEA est de :,25000,50000,150000,300000,C
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)",Qu’est-ce qu’un PER ?, Plan d’Épargne Retraite , Produit Européen Régulé, Plan Épargne Résident, Portefeuille d’Entreprises Régionales,A
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)",Les retraits d’un PER avant la retraite sont :, Totalement libres, Autorisés uniquement pour achat immobilier ou décès , Interdits, Imposés à 70 %,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)","Dans un PEA, on peut investir dans :", Des actions européennes , Des cryptomonnaies, Des biens immobiliers, Des obligations d’État américain,A
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)",Qu’est-ce qu’un CTO ?, Un compte pour trader uniquement des obligations, Un compte ordinaire pour investir sur les marchés , Un compte fiscalement bloqué, Un contrat de trésorerie d’entreprise,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Un retrait du PEA avant 5 ans entraîne :, Une exonération totale, Une clôture du plan , Aucun effet, Une obligation de rembourser les dividendes,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Le PER est destiné à :, Acheter une voiture, Payer les études, Préparer la retraite , Spéculer sur les devises,C
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Le PEA-PME permet :, D’investir dans l’immobilier, D’ouvrir un PEA pour les mineurs, D’investir dans les petites entreprises européennes , De déduire des impôts chaque année,C
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Quel compte permet une fiscalité simplifiée mais immédiate ?, PEA, CTO , PER, Livret A,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)"," Dans un CTO, les dividendes sont :", Non imposables, Imposés à 30 % (flat tax) , Libérés d’impôt, Retenus à la source sans déclaration,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Le PEA est réservé à :, Tous les résidents fiscaux français , Les entreprises, Les retraités, Les mineurs uniquement,A
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Un PER individuel peut être alimenté par :, Des cotisations sociales, Des versements volontaires , Des dividendes, Des plus-values boursières uniquement,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", L’enveloppe fiscale du PEA permet :, De ne jamais payer d’impôts, De différer la fiscalité jusqu’au retrait , De recevoir des aides sociales, De bloquer ses fonds à vie,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Un retrait partiel du PER avant la retraite est possible :," En cas de chômage, invalidité ou achat RP ", À tout moment, Seulement à 70 ans, Jamais,A
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Le CTO est particulièrement utile si on veut :, Investir uniquement en Europe," Accéder aux actions US, ETF monde, etc. ", Bloquer ses fonds 5 ans, Éviter toute fiscalité,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Un compte d’investissement peut être ouvert :, Dans une agence postale, Chez un courtier en ligne , Par téléphone uniquement, Uniquement auprès d’une banque centrale,B
🏦 Investissement & Bourse,"Comptes d’investissement (PEA, CTO, PER...)", Le PER offre un avantage fiscal si :, On retire les fonds avant 3 ans, On n’a pas d’impôts à payer, On déclare ses versements aux impôts , On investit uniquement en actions,C
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Que signifie BRVM ?, Bourse Régionale des Valeurs de l’Afrique, Bourse Régionale des Valeurs Mobilières , Banque Régionale des Valeurs Marchandes, Bureau Régional de la Valeur Monétaire,B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Combien de pays sont membres de l’UEMOA et utilisent la BRVM ?,5,6,8,10,C
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, La BRVM est située physiquement à :, Dakar , Abidjan, Lomé, Ouagadougou,A
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, La monnaie utilisée à la BRVM est :, Euro, Dollar, Naira, Franc CFA ,D
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Les comptes-titres pour investir à la BRVM sont ouverts :, Dans une banque locale agréée , Uniquement en ligne, Auprès de la BCEAO, À la douane,A
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Quelle est la durée d’ouverture d’un compte-titre BRVM en moyenne ?, 1 jour, 1 semaine, 1 à 2 semaines , 2 mois,C
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Quel pays n’est pas membre de la BRVM ?, Côte d’Ivoire, Burkina Faso, Cameroun , Sénégal,C
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Comment appelle-t-on une entreprise cotée à la BRVM ?, Une SCPI, Une société anonyme cotée , Une PME agréée, Une coopérative publique,B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Le principal indice de la BRVM est :, BRVM 10, BRVM 30, BRVM Composite , BRVM Afrique,C
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Quel secteur est très représenté à la BRVM ?, Technologies, Finance , Énergie solaire, Automobile,B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, La fiscalité sur les dividendes en Côte d’Ivoire est de :,"0,1","0,15","0,25","0,3",B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Une action comme Sonatel est cotée à :, Paris, Johannesburg, Dakar via la BRVM , New York,C
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Quel est l’avantage d’investir via un compte local en Afrique de l’Ouest ?, Moins de frais et meilleure accessibilité , Aucune fiscalité, Aucune volatilité, Meilleure conversion en dollars,A
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Peut-on investir à la BRVM depuis l’Europe ?, Non," Oui, via un compte dans une banque partenaire "," Oui, mais seulement en FCFA physique"," Oui, par mobile money uniquement",B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Quelle est la fréquence des cotations à la BRVM ?, Quotidienne , Hebdomadaire, Mensuelle, Temps réel comme au NYSE,A
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Quel est le rôle de la SGI (Société de Gestion et d’Intermédiation) ?, Collecter les impôts, Servir d’intermédiaire pour les achats/ventes d’actions , Fournir les devises, Gérer les banques centrales,B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Peut-on acheter des ETF à la BRVM ?, Oui, Non , Seulement en 2025, Uniquement via crypto,B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest, Un dividende versé par une société BRVM est généralement exprimé en :, Euro, Franc CFA , Dollar, Naira,B
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest,Les frais de courtage sur la BRVM sont en moyenne de :,0,"0,005","0,01","0,03",C
🏦 Investissement & Bourse,BRVM et comptes d’investissement en Afrique de l’Ouest,"Une SCB, une BOA ou une SIB sont :", Des assureurs, Des SGI, Des banques cotées à la BRVM , Des compagnies de transport,C
🏦 Investissement & Bourse,Analyse technique,L'analyse technique étudie :,Les bilans comptables,L'évolution des cours et volumes,Les taux d'intérêt,La gouvernance d'entreprise,B
🏦 Investissement & Bourse,Analyse technique,Un 'support' est un niveau de prix où :,Les vendeurs dominent,La demande devient forte (ralentit la baisse),Le volume chute,Le RSI est suracheté,B
🏦 Investissement & Bourse,Analyse technique,Un 'gap haussier' apparaît quand :,Le cours d'ouverture > cours de clôture précédent,La MACD croise à la baisse,Les volumes sont bas,Le cours stagne,A
🏦 Investissement & Bourse,Analyse technique,La MACD est :,Un indicateur de volatilité,Un oscillateur de momentum,Un ratio fondamental,Un indicateur de volume,B
🏦 Investissement & Bourse,Analyse technique,Un RSI > 70 signale :,Un marché survendu,Un marché suracheté,Un équilibre,Un gap,B
🏦 Investissement & Bourse,Analyse technique,Les 'Bandes de Bollinger' mesurent :,La volatilité autour d'une moyenne mobile,Le flux des ordres,La liquidité,La dette,A
🏦 Investissement & Bourse,Analyse technique,Le 'Golden Cross' est :,Un croisement haussier de la MM50 au-dessus de la MM200,Un effondrement des cours,Un sommet en double,Un gap baissier,A
🏦 Investissement & Bourse,Analyse technique,Un chandelier 'doji' indique :,Une forte tendance,Une indécision entre acheteurs/vendeurs,Un gap,Un volume anormal,B
🏦 Investissement & Bourse,Analyse technique,Un 'retracement de Fibonacci' sert à :,Calculer le PER,Identifier des niveaux de correction potentiels,Estimer les dividendes,Analyser le bilan,B
🏦 Investissement & Bourse,Analyse technique,Une 'tête et épaules' est une figure :,De continuation,De retournement baissier,De surachat,De gap,B
🏦 Investissement & Bourse,Analyse technique,Le volume de trading confirme :,La validité d'une tendance ou d'une rupture,La valeur comptable,Le ROE,La politique de dividende,A
🏦 Investissement & Bourse,Analyse technique,Un 'pullback' est :,Une baisse temporaire dans une tendance haussière,Une faillite,Un dividende non payé,Un écart de valorisation,A
🏦 Investissement & Bourse,Analyse technique,Le stochastique identifie :,Des zones de surachat/survente,La dette nette,Le free cash-flow,La capitalisation,A
🏦 Investissement & Bourse,Analyse technique,Un 'double bottom' est une figure :,Baissière,Haussière de retournement,De continuation,De gap,B
🏦 Investissement & Bourse,Analyse technique,L'ADX mesure :,La force de la tendance,Le volume,La volatilité,Le momentum,A
🏦 Investissement & Bourse,Analyse technique,Un 'parabolic SAR' aide à repérer :,Des points de retournement,Des supports,Des ratios fondamentaux,Des dates ex-dividendes,A
🏦 Investissement & Bourse,Analyse technique,L'Ichimoku Cloud combine :,5 lignes pour une analyse dynamique,Dividendes et PER,Bilan et compte de résultat,Taux d'intérêt et inflation,A
🏦 Investissement & Bourse,Analyse technique,Un 'breakout' se produit quand :,Le cours franchit un seuil de résistance/support,Le RSI est à 50,La MACD est plate,Le volume baisse,A
🏦 Investissement & Bourse,Analyse technique,Le 'volume on balance' (OBV) suit :,La pression acheteuse/vendeuse via les volumes,La valeur des actifs,La croissance du CA,Les taux de change,A
🏦 Investissement & Bourse,Analyse technique,Une 'divergence haussière' entre le cours et le RSI signale :,Un affaiblissement de la tendance baissière,Un effondrement imminent,Un gap,Un sur-achat,A
🏦 Investissement & Bourse,Résultats financiers,Le compte de résultat montre :,Les actifs et dettes à un instant T,Les produits et charges sur une période,La trésorerie disponible,Les capitaux propres,B
🏦 Investissement & Bourse,Résultats financiers,Le chiffre d'affaires est :,Le bénéfice net,Le montant total des ventes,La trésorerie générée,Les capitaux propres,B
🏦 Investissement & Bourse,Résultats financiers,L'EBIT est :,Le résultat net,Le résultat d'exploitation,La marge brute,Le cash-flow,B
🏦 Investissement & Bourse,Résultats financiers,L'amortissement comptable :,Réduit artificiellement les bénéfices,Répartit le coût d'un actif sur sa durée de vie,Augmente la trésorerie,Est un profit,B
🏦 Investissement & Bourse,Résultats financiers,La marge brute est :,(CA - Coût des ventes) / CA,Résultat net / CA,EBIT / CA,Trésorerie / CA,A
🏦 Investissement & Bourse,Résultats financiers,"Dans un bilan, l'actif circulant inclut :",Machines et bâtiments,Stocks et créances clients,Capital social,Dettes à long terme,B
🏦 Investissement & Bourse,Résultats financiers,Les 'capitaux propres' représentent :,Les dettes fournisseurs,L'argent des actionnaires (capital + réserves),Les emprunts bancaires,Les investissements,B
🏦 Investissement & Bourse,Résultats financiers,Le cash-flow opérationnel mesure :,La trésorerie générée par l'activité principale,Les investissements,Les dividendes versés,Les dettes remboursées,A
🏦 Investissement & Bourse,Résultats financiers,Un 'impôt différé' apparaît au :,Compte de résultat,Bilan (passif),Tableau des flux de trésorerie,Rapport RSE,B
🏦 Investissement & Bourse,Résultats financiers,Le BPA dilué tient compte :,Des stock-options et instruments convertibles,Seulement des actions existantes,Du chiffre d'affaires,Des dettes,A
🏦 Investissement & Bourse,Résultats financiers,La 'charge exceptionnelle' :,Est récurrente (ex: salaires),Est liée à un événement non courant,N'affecte pas le résultat net,Augmente les capitaux propres,B
🏦 Investissement & Bourse,Résultats financiers,Le 'goodwill' s'amortit :,Jamais (testé pour dépréciation),Sur 5 ans,Directement en charges,Au bilan uniquement,A
🏦 Investissement & Bourse,Résultats financiers,Le résultat net part du groupe est :,Le bénéfice après impôts et intérêts minoritaires,Le chiffre d'affaires consolidé,La trésorerie disponible,Les capitaux propres,A
🏦 Investissement & Bourse,Résultats financiers,Le ratio dette / capitaux propres mesure :,La solvabilité à long terme,La rentabilité,La liquidité,La croissance du CA,A
🏦 Investissement & Bourse,Résultats financiers,Un 'déficit reporté' au bilan signifie :,Des pertes antérieures non absorbées,Un bénéfice record,Une forte trésorerie,Une dette nulle,A
🏦 Investissement & Bourse,Résultats financiers,L'EBITDA est utilisé car il exclut :,"Les impôts, intérêts, amortissements",Le chiffre d'affaires,Les stocks,Les capitaux propres,A
🏦 Investissement & Bourse,Résultats financiers,Les provisions au passif du bilan couvrent :,Des risques ou pertes futures probables,Des bénéfices distribuables,Des actifs surnuméraires,Des réserves légales,A
🏦 Investissement & Bourse,Résultats financiers,Le CA consolidé inclut :,Seulement la maison-mère,Les filiales contrôlées,Les concurrents,Les fournisseurs,B
🏦 Investissement & Bourse,Résultats financiers,La capacité d'autofinancement sert à :,Rembourser la dette ou investir,Calculer le PER,Évaluer le goodwill,Mesurer la volatilité,A
🏦 Investissement & Bourse,Résultats financiers,Le résultat opérationnel courant exclut :,Les charges salariales,Les éléments exceptionnels et non récurrents,Le chiffre d'affaires,Les amortissements,B
🏦 Investissement & Bourse,Indices boursiers africains,Le BRVM (Bourse Régionale des Valeurs Mobilières) couvre :,L'Afrique du Sud,"Les pays de l'UEMOA (Côte d'Ivoire, Sénégal...)",Le Maghreb,L'Égypte,B
🏦 Investissement & Bourse,Indices boursiers africains,Le JSE All Share Index est l'indice principal de :,Nairobi,Johannesburg,Lagos,Casablanca,B
🏦 Investissement & Bourse,Indices boursiers africains,L'indice EGX 30 représente la bourse de :,Tunis,Alger,Le Caire,Rabat,C
🏦 Investissement & Bourse,Indices boursiers africains,Le NSE All Share Index suit le marché de :,Ghana,Nigeria (Lagos),Kenya,Maroc,B
🏦 Investissement & Bourse,Indices boursiers africains,Le BRVM 10 est :,L'indice des 10 plus grosses capitalisations de la BRVM,Un fonds souverain,Une réglementation boursière,Un indice de volatilité,A
🏦 Investissement & Bourse,Indices boursiers africains,La Bourse de Casablanca (Maroc) a pour indice phare :,MASI,NSE,EGX,BRVM,A
🏦 Investissement & Bourse,Indices boursiers africains,Le JSE inclut des géants comme :,Sonatrach,MTN Group et Naspers,Ecobank,Dangote Cement,B
🏦 Investissement & Bourse,Indices boursiers africains,L'indice NSE 30 au Nigeria :,Couvre 30 banques,Suit les 30 principales capitalisations,Est calculé à Abidjan,Exclut l'énergie,B
🏦 Investissement & Bourse,Indices boursiers africains,La Bourse de Tunis (Tunisie) utilise l'indice :,TUNINDEX,EGX 70,GSE Composite,SEMDEX,A
🏦 Investissement & Bourse,Indices boursiers africains,Le Dangote Cement est coté sur :,BRVM,JSE,NSE (Nigeri,Casablanca,C
🏦 Investissement & Bourse,Indices boursiers africains,Le SEMDEX est l'indice de :,Maurice,Madagascar,Mali,Mozambique,A
🏦 Investissement & Bourse,Indices boursiers africains,L'indice S&P Africa 40 :,Cible 40 entreprises africaines,Couvre uniquement l'Afrique du Sud,Est un indice obligataire,N'existe plus,A
🏦 Investissement & Bourse,Indices boursiers africains,La Bourse du Kenya (NSE) a pour indice principal :,NSE 20,BRVM 10,EGX 100,MASI,A
🏦 Investissement & Bourse,Indices boursiers africains,L'UEMOA regroupe :,Les pays anglophones,Les pays d'Afrique centrale,Les pays d'Afrique de l'Ouest francophone,Les pays du Maghreb,C
🏦 Investissement & Bourse,Indices boursiers africains,Le plus ancien marché boursier d'Afrique est :,Le Caire (Égypte),Johannesburg (Afrique du Su,Lagos (Nigeri,Nairobi (Keny,B
🏦 Investissement & Bourse,Indices boursiers africains,L'indice GSE Composite (Ghana Stock Exchange) :,Est dominé par le pétrole,Inclut des sociétés comme MTN Ghana,N'a que 5 valeurs,Est calculé à Paris,B
🏦 Investissement & Bourse,Indices boursiers africains,Le BRVM est situé à :,Dakar,Lomé,Abidjan,Cotonou,C
🏦 Investissement & Bourse,Indices boursiers africains,L'entreprise Sonatrach (énergie) est cotée à :,Alger (non cotée),Casablanca,Tunis,Aucune bourse africaine (étatique),D
🏦 Investissement & Bourse,Indices boursiers africains,Le Botswana Stock Exchange utilise l'indice :,BSE DCI,NSX,LUSE,MSM,A
🏦 Investissement & Bourse,Indices boursiers africains,L'indice 'FTSE/JSE Africa Index Series' couvre :,Toute l'Afrique,Principalement l'Afrique du Sud,L'Afrique francophone,Les pays du Sahel,B
🏦 Investissement & Bourse,Analyse fondamentale,L'analyse fondamentale évalue :,Les graphiques de cours,La santé financière et la valeur intrinsèque d'une entreprise,La psychologie des marchés,Les volumes de transactions,B
🏦 Investissement & Bourse,Analyse fondamentale,Le PER (Price-Earnings Ratio) se calcule par :,Cours de l'action / Bénéfice par action (BP,Chiffre d'affaires / Dette,Dividende / Cours de l'action,Actifs / Passifs,A
🏦 Investissement & Bourse,Analyse fondamentale,Un PER élevé indique souvent :,Une décote du marché,Une croissance future attendue,Un dividende élevé,Un faible risque,B
🏦 Investissement & Bourse,Analyse fondamentale,Le ROE (Return on Equity) mesure :,L'endettement,La rentabilité des capitaux propres,La liquidité,La part de marché,B
🏦 Investissement & Bourse,Analyse fondamentale,Le ratio 'Dette Nette / EBITDA' évalue :,La capacité de remboursement,La profitabilité,La rotation des stocks,Le rendement du dividende,A
🏦 Investissement & Bourse,Analyse fondamentale,La marge opérationnelle est :,Résultat net / Chiffre d'affaires,Résultat d'exploitation / Chiffre d'affaires,EBITDA / Dette,Trésorerie / Passif courant,B
🏦 Investissement & Bourse,Analyse fondamentale,Un 'free cash-flow' élevé permet à l'entreprise de :,Réduire son chiffre d'affaires,Payer des dividendes ou investir,Augmenter sa dette,Fermer des usines,B
🏦 Investissement & Bourse,Analyse fondamentale,Le P/BV (Price-to-Book Value) compare :,Cours de l'action / Valeur comptable par action,Cours / Bénéfice,Dette / Capitaux propres,Dividende / Cours,A
🏦 Investissement & Bourse,Analyse fondamentale,Le bénéfice net est :,Le chiffre d'affaires moins les charges,La trésorerie disponible,La valeur des actifs,Les capitaux propres,A
🏦 Investissement & Bourse,Analyse fondamentale,Un ratio de distribution de dividende > 100% :,Est un signal positif,Indique que l'entreprise puise dans ses réserves,Montre une faible dette,Est typique des startups,B
🏦 Investissement & Bourse,Analyse fondamentale,L'EBITDA exclut :,Les impôts et intérêts,Les amortissements,Le chiffre d'affaires,Les salaires,B
🏦 Investissement & Bourse,Analyse fondamentale,Le 'goodwill' dans un bilan représente :,La trésorerie,La survaleur payée lors d'une acquisition,La dette à long terme,Les stocks,B
🏦 Investissement & Bourse,Analyse fondamentale,Le BPA (Bénéfice par action) est :,Résultat net / Nombre d'actions,Cours de l'action / PER,Dividende total / Nombre d'actions,Chiffre d'affaires / Action,A
🏦 Investissement & Bourse,Analyse fondamentale,Un ratio courant (Current Ratio) < 1 signifie que :,L'entreprise est très rentable,Les actifs à court terme < passifs à court terme,La dette est maîtrisée,Le dividende est sûr,B
🏦 Investissement & Bourse,Analyse fondamentale,La valeur intrinsèque d'une action :,Est toujours égale au cours de bourse,"Est estimée via des modèles (DCF, comparables)",Dépend des tendances graphiques,Change chaque minute,B
🏦 Investissement & Bourse,Analyse fondamentale,Le 'cost of equity' (coût des capitaux propres) est utilisé dans :,Le calcul du PER,Le modèle d'actualisation des dividendes (DGM),L'analyse technique,Le calcul du ROE,B
🏦 Investissement & Bourse,Analyse fondamentale,Un actif incorporel peut être :,Un brevet ou une marque,Une machine,Des liquidités,Un terrain,A
🏦 Investissement & Bourse,Analyse fondamentale,Le ratio PEG (PER / croissance) ajuste le PER par :,Le dividende,La croissance anticipée des bénéfices,L'inflation,La volatilité,B
