"module";"topic";"question";"correct_answer";"options"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Que représente le volume d’échange d’une action ?";"C";"{""A"": ""Le nombre de dividendes versés"", ""B"": ""Le total des actions en circulation"", ""C"": ""Le nombre d’actions échangées sur une période"", ""D"": ""Le prix moyen""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Un dividende est souvent exprimé :";"B";"{""A"": ""En % du chiffre d’affaires"", ""B"": ""Par action"", ""C"": ""En nombre d’actions"", ""D"": ""En durée""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Qui régule la Bourse en France ?";"C";"{""A"": ""La Banque de France"", ""B"": ""Le Ministère des Finances"", ""C"": ""L'AMF"", ""D"": ""La BCE""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Le CAC 40 regroupe :";"C";"{""A"": ""Les 40 plus grosses PME"", ""B"": ""Les 40 premières entreprises cotées en Europe"", ""C"": ""Les 40 plus grandes capitalisations françaises"", ""D"": ""40 fonds d’investissement""}"
"🏦 Investissement & Bourse";"Introduction à la Bourse";"Quel terme désigne la différence entre le prix d’achat et de vente ?";"A";"{""A"": ""Spread"", ""B"": ""Volatilité"", ""C"": ""Dividende"", ""D"": ""Ratio""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Qu'est-ce qu'une obligation ?";"C";"{""A"": ""Une part de propriété d’une entreprise"", ""B"": ""Un produit dérivé"", ""C"": ""Un prêt accordé à un État ou une entreprise"", ""D"": ""Une action avec dividende garanti""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Que représente un ETF ?";"C";"{""A"": ""Un fonds spéculatif à haut risque"", ""B"": ""Une action à dividende variable"", ""C"": ""Un fonds indiciel coté en Bourse"", ""D"": ""Une crypto-monnaie""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Quelle est la principale différence entre une action et une obligation ?";"B";"{""A"": ""L'action est un prêt, l'obligation une part de propriété"", ""B"": ""L'obligation est un prêt, l'action une part de propriété"", ""C"": ""L'action est garantie, l'obligation non"", ""D"": ""Aucune différence""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Quel type d'actif donne droit à voter en assemblée générale ?";"C";"{""A"": ""Obligation"", ""B"": ""ETF"", ""C"": ""Action"", ""D"": ""Livret A""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Quel actif est généralement considéré comme le plus risqué ?";"B";"{""A"": ""Obligation d'État"", ""B"": ""Action de startup"", ""C"": ""Livret A"", ""D"": ""Obligations AAA""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Un ETF peut contenir :";"C";"{""A"": ""Une seule action"", ""B"": ""Des matières premières uniquement"", ""C"": ""Un panier d’actifs comme des actions ou obligations"", ""D"": ""Un contrat d’assurance""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Que signifie la diversification d’un ETF ?";"C";"{""A"": ""Il se spécialise sur une entreprise"", ""B"": ""Il suit les conseils d’un courtier"", ""C"": ""Il investit dans plusieurs titres"", ""D"": ""Il est basé sur le taux de change""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Un actif dit ""refuge"" est typiquement :";"C";"{""A"": ""L’action d’une PME"", ""B"": ""Une cryptomonnaie"", ""C"": ""L’or"", ""D"": ""Un ETF technologique""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Quel actif rapporte souvent un revenu fixe annuel ?";"B";"{""A"": ""Action"", ""B"": ""Obligation"", ""C"": ""ETF à capitalisation"", ""D"": ""Plan d’épargne en actions""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Une action de type ""croissance"" est :";"B";"{""A"": ""Une obligation bien notée"", ""B"": ""Une action d’entreprise en forte expansion"", ""C"": ""Un ETF sectoriel"", ""D"": ""Un actif sans risque""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Le Livret A est :";"C";"{""A"": ""Une action"", ""B"": ""Une obligation"", ""C"": ""Un placement réglementé garanti"", ""D"": ""Un actif coté""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Une obligation émise par l’État français est appelée :";"C";"{""A"": ""Livret"", ""B"": ""Titre foncier"", ""C"": ""OAT"", ""D"": ""Action publique""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Que contient un ETF CAC 40 ?";"B";"{""A"": ""Les obligations françaises"", ""B"": ""Les 40 plus grandes entreprises françaises"", ""C"": ""Les 40 plus grandes banques"", ""D"": ""Les 40 fonds immobiliers""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Quel actif est indexé sur l’évolution du prix du pétrole ?";"C";"{""A"": ""Une action bancaire"", ""B"": ""Une OAT"", ""C"": ""Un ETF énergie"", ""D"": ""Un livret d’épargne""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Une SICAV est :";"B";"{""A"": ""Une action du CAC 40"", ""B"": ""Un fonds d’investissement"", ""C"": ""Une crypto"", ""D"": ""Une obligation à court terme""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Quels actifs sont les plus sensibles à la hausse des taux d’intérêt ?";"B";"{""A"": ""Actions technologiques"", ""B"": ""Obligations"", ""C"": ""Immobilier"", ""D"": ""ETF monde""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Les obligations à haut rendement sont aussi appelées :";"A";"{""A"": ""Junk bonds"", ""B"": ""ETF de croissance"", ""C"": ""Actions à dividendes"", ""D"": ""Livrets à risque""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Un ETF est dit “répliqué physiquement” quand :";"B";"{""A"": ""Il suit un robot de trading"", ""B"": ""Il achète réellement les titres de l’indice"", ""C"": ""Il est garanti par l’État"", ""D"": ""Il utilise un algorithme spéculatif""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Quel est l'intérêt principal des obligations d'État ?";"B";"{""A"": ""Elles offrent une forte croissance"", ""B"": ""Elles garantissent un retour stable avec peu de risque"", ""C"": ""Elles permettent de voter en AG"", ""D"": ""Elles dépendent du marché immobilier""}"
"🏦 Investissement & Bourse";"Les types d'actifs";"Un ETF à distribution :";"C";"{""A"": ""Réinvestit les dividendes"", ""B"": ""Ne distribue aucun revenu"", ""C"": ""Verse les dividendes aux investisseurs"", ""D"": ""Ne contient que des obligations""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";"Qu’est-ce qu’un PEA ?";"A";"{""A"": ""Un Plan Épargne Action"", ""B"": ""Un compte bancaire"", ""C"": ""Un fonds d’urgence"", ""D"": ""Un livret réglementé""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";"Quel est l’avantage fiscal principal du PEA après 5 ans ?";"A";"{""A"": ""Aucune fiscalité sur les plus-values"", ""B"": ""Une réduction immédiate d’impôt"", ""C"": ""Exonération des charges sociales"", ""D"": ""Déduction des versements""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Un CTO permet d’investir :";"B";"{""A"": ""Uniquement dans des actions françaises"", ""B"": ""Dans tous les types d’actifs cotés"", ""C"": ""Uniquement dans les cryptos"", ""D"": ""Dans les SCPI uniquement""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";"Le plafond de versement d’un PEA est de :";"C";"{""A"": ""25000"", ""B"": ""50000"", ""C"": ""150000"", ""D"": ""300000""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";"Qu’est-ce qu’un PER ?";"A";"{""A"": ""Plan d’Épargne Retraite"", ""B"": ""Produit Européen Régulé"", ""C"": ""Plan Épargne Résident"", ""D"": ""Portefeuille d’Entreprises Régionales""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";"Les retraits d’un PER avant la retraite sont :";"B";"{""A"": ""Totalement libres"", ""B"": ""Autorisés uniquement pour achat immobilier ou décès"", ""C"": ""Interdits"", ""D"": ""Imposés à 70 %""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";"Dans un PEA, on peut investir dans :";"A";"{""A"": ""Des actions européennes"", ""B"": ""Des cryptomonnaies"", ""C"": ""Des biens immobiliers"", ""D"": ""Des obligations d’État américain""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";"Qu’est-ce qu’un CTO ?";"B";"{""A"": ""Un compte pour trader uniquement des obligations"", ""B"": ""Un compte ordinaire pour investir sur les marchés"", ""C"": ""Un compte fiscalement bloqué"", ""D"": ""Un contrat de trésorerie d’entreprise""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Un retrait du PEA avant 5 ans entraîne :";"B";"{""A"": ""Une exonération totale"", ""B"": ""Une clôture du plan"", ""C"": ""Aucun effet"", ""D"": ""Une obligation de rembourser les dividendes""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Le PER est destiné à :";"C";"{""A"": ""Acheter une voiture"", ""B"": ""Payer les études"", ""C"": ""Préparer la retraite"", ""D"": ""Spéculer sur les devises""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Le PEA-PME permet :";"C";"{""A"": ""D’investir dans l’immobilier"", ""B"": ""D’ouvrir un PEA pour les mineurs"", ""C"": ""D’investir dans les petites entreprises européennes"", ""D"": ""De déduire des impôts chaque année""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Quel compte permet une fiscalité simplifiée mais immédiate ?";"B";"{""A"": ""PEA"", ""B"": ""CTO"", ""C"": ""PER"", ""D"": ""Livret A""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Dans un CTO, les dividendes sont :";"B";"{""A"": ""Non imposables"", ""B"": ""Imposés à 30 % (flat tax)"", ""C"": ""Libérés d’impôt"", ""D"": ""Retenus à la source sans déclaration""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Le PEA est réservé à :";"A";"{""A"": ""Tous les résidents fiscaux français"", ""B"": ""Les entreprises"", ""C"": ""Les retraités"", ""D"": ""Les mineurs uniquement""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Un PER individuel peut être alimenté par :";"B";"{""A"": ""Des cotisations sociales"", ""B"": ""Des versements volontaires"", ""C"": ""Des dividendes"", ""D"": ""Des plus-values boursières uniquement""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" L’enveloppe fiscale du PEA permet :";"B";"{""A"": ""De ne jamais payer d’impôts"", ""B"": ""De différer la fiscalité jusqu’au retrait"", ""C"": ""De recevoir des aides sociales"", ""D"": ""De bloquer ses fonds à vie""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Un retrait partiel du PER avant la retraite est possible :";"A";"{""A"": ""En cas de chômage, invalidité ou achat RP"", ""B"": ""À tout moment"", ""C"": ""Seulement à 70 ans"", ""D"": ""Jamais""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Le CTO est particulièrement utile si on veut :";"B";"{""A"": ""Investir uniquement en Europe"", ""B"": ""Accéder aux actions US, ETF monde, etc."", ""C"": ""Bloquer ses fonds 5 ans"", ""D"": ""Éviter toute fiscalité""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Un compte d’investissement peut être ouvert :";"B";"{""A"": ""Dans une agence postale"", ""B"": ""Chez un courtier en ligne"", ""C"": ""Par téléphone uniquement"", ""D"": ""Uniquement auprès d’une banque centrale""}"
"🏦 Investissement & Bourse";"Comptes d’investissement (PEA, CTO, PER...)";" Le PER offre un avantage fiscal si :";"C";"{""A"": ""On retire les fonds avant 3 ans"", ""B"": ""On n’a pas d’impôts à payer"", ""C"": ""On déclare ses versements aux impôts"", ""D"": ""On investit uniquement en actions""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Que signifie BRVM ?";"B";"{""A"": ""Bourse Régionale des Valeurs de l’Afrique"", ""B"": ""Bourse Régionale des Valeurs Mobilières"", ""C"": ""Banque Régionale des Valeurs Marchandes"", ""D"": ""Bureau Régional de la Valeur Monétaire""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Combien de pays sont membres de l’UEMOA et utilisent la BRVM ?";"C";"{""A"": ""5"", ""B"": ""6"", ""C"": ""8"", ""D"": ""10""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" La BRVM est située physiquement à :";"A";"{""A"": ""Dakar"", ""B"": ""Abidjan"", ""C"": ""Lomé"", ""D"": ""Ouagadougou""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" La monnaie utilisée à la BRVM est :";"D";"{""A"": ""Euro"", ""B"": ""Dollar"", ""C"": ""Naira"", ""D"": ""Franc CFA""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Les comptes-titres pour investir à la BRVM sont ouverts :";"A";"{""A"": ""Dans une banque locale agréée"", ""B"": ""Uniquement en ligne"", ""C"": ""Auprès de la BCEAO"", ""D"": ""À la douane""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Quelle est la durée d’ouverture d’un compte-titre BRVM en moyenne ?";"C";"{""A"": ""1 jour"", ""B"": ""1 semaine"", ""C"": ""1 à 2 semaines"", ""D"": ""2 mois""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Quel pays n’est pas membre de la BRVM ?";"C";"{""A"": ""Côte d’Ivoire"", ""B"": ""Burkina Faso"", ""C"": ""Cameroun"", ""D"": ""Sénégal""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Comment appelle-t-on une entreprise cotée à la BRVM ?";"B";"{""A"": ""Une SCPI"", ""B"": ""Une société anonyme cotée"", ""C"": ""Une PME agréée"", ""D"": ""Une coopérative publique""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Le principal indice de la BRVM est :";"C";"{""A"": ""BRVM 10"", ""B"": ""BRVM 30"", ""C"": ""BRVM Composite"", ""D"": ""BRVM Afrique""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Quel secteur est très représenté à la BRVM ?";"B";"{""A"": ""Technologies"", ""B"": ""Finance"", ""C"": ""Énergie solaire"", ""D"": ""Automobile""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" La fiscalité sur les dividendes en Côte d’Ivoire est de :";"B";"{""A"": ""0,1"", ""B"": ""0,15"", ""C"": ""0,25"", ""D"": ""0,3""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Une action comme Sonatel est cotée à :";"C";"{""A"": ""Paris"", ""B"": ""Johannesburg"", ""C"": ""Dakar via la BRVM"", ""D"": ""New York""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Quel est l’avantage d’investir via un compte local en Afrique de l’Ouest ?";"A";"{""A"": ""Moins de frais et meilleure accessibilité"", ""B"": ""Aucune fiscalité"", ""C"": ""Aucune volatilité"", ""D"": ""Meilleure conversion en dollars""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Peut-on investir à la BRVM depuis l’Europe ?";"B";"{""A"": ""Non"", ""B"": ""Oui, via un compte dans une banque partenaire"", ""C"": ""Oui, mais seulement en FCFA physique"", ""D"": ""Oui, par mobile money uniquement""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Quelle est la fréquence des cotations à la BRVM ?";"A";"{""A"": ""Quotidienne"", ""B"": ""Hebdomadaire"", ""C"": ""Mensuelle"", ""D"": ""Temps réel comme au NYSE""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Quel est le rôle de la SGI (Société de Gestion et d’Intermédiation) ?";"B";"{""A"": ""Collecter les impôts"", ""B"": ""Servir d’intermédiaire pour les achats/ventes d’actions"", ""C"": ""Fournir les devises"", ""D"": ""Gérer les banques centrales""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Peut-on acheter des ETF à la BRVM ?";"B";"{""A"": ""Oui"", ""B"": ""Non"", ""C"": ""Seulement en 2025"", ""D"": ""Uniquement via crypto""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";" Un dividende versé par une société BRVM est généralement exprimé en :";"B";"{""A"": ""Euro"", ""B"": ""Franc CFA"", ""C"": ""Dollar"", ""D"": ""Naira""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";"Les frais de courtage sur la BRVM sont en moyenne de :";"C";"{""A"": ""0"", ""B"": ""0,005"", ""C"": ""0,01"", ""D"": ""0,03""}"
"🏦 Investissement & Bourse";"BRVM et comptes d’investissement en Afrique de l’Ouest";"Une SCB, une BOA ou une SIB sont :";"C";"{""A"": ""Des assureurs"", ""B"": ""Des SGI"", ""C"": ""Des banques cotées à la BRVM"", ""D"": ""Des compagnies de transport""}"
"🏦 Investissement & Bourse";"Analyse technique";"L'analyse technique étudie :";"B";"{""A"": ""Les bilans comptables"", ""B"": ""L'évolution des cours et volumes"", ""C"": ""Les taux d'intérêt"", ""D"": ""La gouvernance d'entreprise""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un 'support' est un niveau de prix où :";"B";"{""A"": ""Les vendeurs dominent"", ""B"": ""La demande devient forte (ralentit la baisse)"", ""C"": ""Le volume chute"", ""D"": ""Le RSI est suracheté""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un 'gap haussier' apparaît quand :";"A";"{""A"": ""Le cours d'ouverture > cours de clôture précédent"", ""B"": ""La MACD croise à la baisse"", ""C"": ""Les volumes sont bas"", ""D"": ""Le cours stagne""}"
"🏦 Investissement & Bourse";"Analyse technique";"La MACD est :";"B";"{""A"": ""Un indicateur de volatilité"", ""B"": ""Un oscillateur de momentum"", ""C"": ""Un ratio fondamental"", ""D"": ""Un indicateur de volume""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un RSI > 70 signale :";"B";"{""A"": ""Un marché survendu"", ""B"": ""Un marché suracheté"", ""C"": ""Un équilibre"", ""D"": ""Un gap""}"
"🏦 Investissement & Bourse";"Analyse technique";"Les 'Bandes de Bollinger' mesurent :";"A";"{""A"": ""La volatilité autour d'une moyenne mobile"", ""B"": ""Le flux des ordres"", ""C"": ""La liquidité"", ""D"": ""La dette""}"
"🏦 Investissement & Bourse";"Analyse technique";"Le 'Golden Cross' est :";"A";"{""A"": ""Un croisement haussier de la MM50 au-dessus de la MM200"", ""B"": ""Un effondrement des cours"", ""C"": ""Un sommet en double"", ""D"": ""Un gap baissier""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un chandelier 'doji' indique :";"B";"{""A"": ""Une forte tendance"", ""B"": ""Une indécision entre acheteurs/vendeurs"", ""C"": ""Un gap"", ""D"": ""Un volume anormal""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un 'retracement de Fibonacci' sert à :";"B";"{""A"": ""Calculer le PER"", ""B"": ""Identifier des niveaux de correction potentiels"", ""C"": ""Estimer les dividendes"", ""D"": ""Analyser le bilan""}"
"🏦 Investissement & Bourse";"Analyse technique";"Une 'tête et épaules' est une figure :";"B";"{""A"": ""De continuation"", ""B"": ""De retournement baissier"", ""C"": ""De surachat"", ""D"": ""De gap""}"
"🏦 Investissement & Bourse";"Analyse technique";"Le volume de trading confirme :";"A";"{""A"": ""La validité d'une tendance ou d'une rupture"", ""B"": ""La valeur comptable"", ""C"": ""Le ROE"", ""D"": ""La politique de dividende""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un 'pullback' est :";"A";"{""A"": ""Une baisse temporaire dans une tendance haussière"", ""B"": ""Une faillite"", ""C"": ""Un dividende non payé"", ""D"": ""Un écart de valorisation""}"
"🏦 Investissement & Bourse";"Analyse technique";"Le stochastique identifie :";"A";"{""A"": ""Des zones de surachat/survente"", ""B"": ""La dette nette"", ""C"": ""Le free cash-flow"", ""D"": ""La capitalisation""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un 'double bottom' est une figure :";"B";"{""A"": ""Baissière"", ""B"": ""Haussière de retournement"", ""C"": ""De continuation"", ""D"": ""De gap""}"
"🏦 Investissement & Bourse";"Analyse technique";"L'ADX mesure :";"A";"{""A"": ""La force de la tendance"", ""B"": ""Le volume"", ""C"": ""La volatilité"", ""D"": ""Le momentum""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un 'parabolic SAR' aide à repérer :";"A";"{""A"": ""Des points de retournement"", ""B"": ""Des supports"", ""C"": ""Des ratios fondamentaux"", ""D"": ""Des dates ex-dividendes""}"
"🏦 Investissement & Bourse";"Analyse technique";"L'Ichimoku Cloud combine :";"A";"{""A"": ""5 lignes pour une analyse dynamique"", ""B"": ""Dividendes et PER"", ""C"": ""Bilan et compte de résultat"", ""D"": ""Taux d'intérêt et inflation""}"
"🏦 Investissement & Bourse";"Analyse technique";"Un 'breakout' se produit quand :";"A";"{""A"": ""Le cours franchit un seuil de résistance/support"", ""B"": ""Le RSI est à 50"", ""C"": ""La MACD est plate"", ""D"": ""Le volume baisse""}"
"🏦 Investissement & Bourse";"Analyse technique";"Le 'volume on balance' (OBV) suit :";"A";"{""A"": ""La pression acheteuse/vendeuse via les volumes"", ""B"": ""La valeur des actifs"", ""C"": ""La croissance du CA"", ""D"": ""Les taux de change""}"
"🏦 Investissement & Bourse";"Analyse technique";"Une 'divergence haussière' entre le cours et le RSI signale :";"A";"{""A"": ""Un affaiblissement de la tendance baissière"", ""B"": ""Un effondrement imminent"", ""C"": ""Un gap"", ""D"": ""Un sur-achat""}"
"🏦 Investissement & Bourse";"Résultats financiers";"Le compte de résultat montre :";"B";"{""A"": ""Les actifs et dettes à un instant T"", ""B"": ""Les produits et charges sur une période"", ""C"": ""La trésorerie disponible"", ""D"": ""Les capitaux propres""}"
"🏦 Investissement & Bourse";"Résultats financiers";"Le chiffre d'affaires est :";"B";"{""A"": ""Le bénéfice net"", ""B"": ""Le montant total des ventes"", ""C"": ""La trésorerie générée"", ""D"": ""Les capitaux propres""}"
"🏦 Investissement & Bourse";"Résultats financiers";"L'EBIT est :";"B";"{""A"": ""Le résultat net"", ""B"": ""Le résultat d'exploitation"", ""C"": ""La marge brute"", ""D"": ""Le cash-flow""}"
"🏦 Investissement & Bourse";"Résultats financiers";"L'amortissement comptable :";"B";"{""A"": ""Réduit artificiellement les bénéfices"", ""B"": ""Répartit le coût d'un actif sur sa durée de vie"", ""C"": ""Augmente la trésorerie"", ""D"": ""Est un profit""}"
"🏦 Investissement & Bourse";"Résultats financiers";"La marge brute est :";"A";"{""A"": ""(CA - Coût des ventes) / CA"", ""B"": ""Résultat net / CA"", ""C"": ""EBIT / CA"", ""D"": ""Trésorerie / CA""}"
"🏦 Investissement & Bourse";"Résultats financiers";"Dans un bilan, l'actif circulant inclut :";"B";"{""A"": ""Machines et bâtiments"", ""B"": ""Stocks et créances clients"", ""C"": ""Capital social"", ""D"": ""Dettes à long terme""}"
"🏦 Investissement & Bourse";"Résultats financiers";"Les 'capitaux propres' représentent :";"B";"{""A"": ""Les dettes fournisseurs"", ""B"": ""L'argent des actionnaires (capital + réserves)"", ""C"": ""Les emprunts bancaires"", ""D"": ""Les investissements""}"
"🏦 Investissement & Bourse";"Résultats financiers";"Le cash-flow opérationnel mesure :";"A";"{""A"": ""La trésorerie générée par l'activité principale"", ""B"": ""Les investissements"", ""C"": ""Les dividendes versés"", ""D"": ""Les dettes remboursées""}"
